algorithm,data_type,array_size,max_string_size,average_time_microseconds,average_char_comparisons
StandardQuickSort,almost_sorted,700,200,5431.4,119450
StringMergeSort,random,700,200,2661.7,5169
StringMergeSort,reversed,700,200,2365.3,2766
StringMergeSort,almost_sorted,700,200,2398,2797
StringQuickSort,random,700,200,372.6,10105
StringQuickSort,reversed,700,200,581.8,14561
StringQuickSort,almost_sorted,700,200,506.7,18968
RadixSort,random,700,200,1179.2,0
RadixSort,reversed,700,200,1482.4,0
RadixSort,almost_sorted,700,200,1398.2,0
RadixSortWithQuickSwitch,random,700,200,284,2604
RadixSortWithQuickSwitch,reversed,700,200,594.1,11130
RadixSortWithQuickSwitch,almost_sorted,700,200,363.9,7676
StandardMergeSort,random,800,200,1138.6,8762
StandardMergeSort,reversed,800,200,955.9,6738
StandardMergeSort,almost_sorted,800,200,1001.6,8418
StandardQuickSort,random,800,200,5864.9,127361
StandardQuickSort,reversed,800,200,21872.1,503956
StandardQuickSort,almost_sorted,800,200,6029.4,136390
StringMergeSort,random,800,200,3033.5,6027
StringMergeSort,reversed,800,200,2708.6,3120
StringMergeSort,almost_sorted,800,200,2756.8,3278
StringQuickSort,random,800,200,440.9,12049
StringQuickSort,reversed,800,200,701.1,17581
StringQuickSort,almost_sorted,800,200,469.4,15804
RadixSort,random,800,200,1334.5,0
RadixSort,reversed,800,200,1699,0
RadixSort,almost_sorted,800,200,1627.5,0
RadixSortWithQuickSwitch,random,800,200,330.4,3168
RadixSortWithQuickSwitch,reversed,800,200,683.9,12595
RadixSortWithQuickSwitch,almost_sorted,800,200,427.3,8729
StandardMergeSort,random,900,200,1321,10154
StandardMergeSort,reversed,900,200,1083,7497
StandardMergeSort,almost_sorted,900,200,1160.7,9770
StandardQuickSort,random,900,200,6846.5,148887
StandardQuickSort,reversed,900,200,29521.8,612069
StandardQuickSort,almost_sorted,900,200,6876.4,153848
StringMergeSort,random,900,200,3411.7,6952
StringMergeSort,reversed,900,200,3037.2,3498
StringMergeSort,almost_sorted,900,200,3072.5,3745
StringQuickSort,random,900,200,493.5,13549
StringQuickSort,reversed,900,200,858.4,21442
StringQuickSort,almost_sorted,900,200,730.5,27400
RadixSort,random,900,200,1479.9,0
RadixSort,reversed,900,200,1949.2,0
RadixSort,almost_sorted,900,200,1931.7,0
RadixSortWithQuickSwitch,random,900,200,375.1,3802
RadixSortWithQuickSwitch,reversed,900,200,756.1,14233
RadixSortWithQuickSwitch,almost_sorted,900,200,478.3,9509
StandardMergeSort,random,1000,200,1496,11533
StandardMergeSort,reversed,1000,200,1192.5,8239
StandardMergeSort,almost_sorted,1000,200,1291.6,11238
StandardQuickSort,random,1000,200,7699.8,165814
StandardQuickSort,reversed,1000,200,31278.9,730661
StandardQuickSort,almost_sorted,1000,200,7715.3,171623
StringMergeSort,random,1000,200,3771.1,7834
StringMergeSort,reversed,1000,200,3300.6,3805
StringMergeSort,almost_sorted,1000,200,3384.1,4285
StringQuickSort,random,1000,200,559.2,15415
StringQuickSort,reversed,1000,200,1006.9,25520
StringQuickSort,almost_sorted,1000,200,839.6,32763
RadixSort,random,1000,200,1641.2,0
RadixSort,reversed,1000,200,2107.2,0
RadixSort,almost_sorted,1000,200,2075.8,0
RadixSortWithQuickSwitch,random,1000,200,429.3,4512
RadixSortWithQuickSwitch,reversed,1000,200,851.2,16001
RadixSortWithQuickSwitch,almost_sorted,1000,200,529.1,10612
StandardMergeSort,random,1100,200,1663.1,12970
StandardMergeSort,reversed,1100,200,1349.4,9286
StandardMergeSort,almost_sorted,1100,200,1435.5,12481
StandardQuickSort,random,1100,200,8356.3,181396
StandardQuickSort,reversed,1100,200,37082.7,859244
StandardQuickSort,almost_sorted,1100,200,8793,196823
StringMergeSort,random,1100,200,4354.6,8705
StringMergeSort,reversed,1100,200,3792.2,4219
StringMergeSort,almost_sorted,1100,200,3929.4,4797
StringQuickSort,random,1100,200,642,17641
StringQuickSort,reversed,1100,200,1133.4,28791
StringQuickSort,almost_sorted,1100,200,966.2,39177
RadixSort,random,1100,200,1844.7,0
RadixSort,reversed,1100,200,2333,0
RadixSort,almost_sorted,1100,200,2329.2,0
RadixSortWithQuickSwitch,random,1100,200,473.7,5165
RadixSortWithQuickSwitch,reversed,1100,200,958.1,17576
RadixSortWithQuickSwitch,almost_sorted,1100,200,575.5,11717
StandardMergeSort,random,1200,200,1867.2,14494
StandardMergeSort,reversed,1200,200,1501.3,10412
StandardMergeSort,almost_sorted,1200,200,1602.7,13821
StandardQuickSort,random,1200,200,9336.8,200557
StandardQuickSort,reversed,1200,200,42781.2,997668
StandardQuickSort,almost_sorted,1200,200,9470.6,210140
StringMergeSort,random,1200,200,4767.4,9695
StringMergeSort,reversed,1200,200,4178.6,4688
StringMergeSort,almost_sorted,1200,200,4317.9,5286
StringQuickSort,random,1200,200,703.1,20167
StringQuickSort,reversed,1200,200,1285.4,32614
StringQuickSort,almost_sorted,1200,200,1136.4,45803
RadixSort,random,1200,200,2027.2,0
RadixSort,reversed,1200,200,2505.3,0
RadixSort,almost_sorted,1200,200,2486,0
RadixSortWithQuickSwitch,random,1200,200,531.8,5902
RadixSortWithQuickSwitch,reversed,1200,200,1011.1,18935
RadixSortWithQuickSwitch,almost_sorted,1200,200,624.8,12561
StandardMergeSort,random,1300,200,2042.1,16024
StandardMergeSort,reversed,1300,200,1632.2,11521
StandardMergeSort,almost_sorted,1300,200,1803,15083
StandardQuickSort,random,1300,200,10084,220221
StandardQuickSort,reversed,1300,200,48681.5,1145075
StandardQuickSort,almost_sorted,1300,200,10217.2,228975
StringMergeSort,random,1300,200,5214.6,10694
StringMergeSort,reversed,1300,200,4607,5187
StringMergeSort,almost_sorted,1300,200,4701.6,5813
StringQuickSort,random,1300,200,742.9,20068
StringQuickSort,reversed,1300,200,1426.4,36532
StringQuickSort,almost_sorted,1300,200,1080.9,42437
RadixSort,random,1300,200,2156.3,0
RadixSort,reversed,1300,200,2715.9,0
RadixSort,almost_sorted,1300,200,2675.3,0
RadixSortWithQuickSwitch,random,1300,200,587.5,6685
RadixSortWithQuickSwitch,reversed,1300,200,1084.5,20374
RadixSortWithQuickSwitch,almost_sorted,1300,200,683.7,13580
StandardMergeSort,random,1400,200,2215.3,17551
StandardMergeSort,reversed,1400,200,1766.1,12442
StandardMergeSort,almost_sorted,1400,200,1913.9,16274
StandardQuickSort,random,1400,200,10782.7,238317
StandardQuickSort,reversed,1400,200,54843.9,1303363
StandardQuickSort,almost_sorted,1400,200,11406.9,254427
StringMergeSort,random,1400,200,5636.7,11616
StringMergeSort,reversed,1400,200,4951.2,5554
StringMergeSort,almost_sorted,1400,200,5067.4,6199
StringQuickSort,random,1400,200,819.4,22586
StringQuickSort,reversed,1400,200,1680.2,43278
StringQuickSort,almost_sorted,1400,200,1151.3,44535
RadixSort,random,1400,200,2337.7,0
RadixSort,reversed,1400,200,2986.3,0
RadixSort,almost_sorted,1400,200,2875.2,0
RadixSortWithQuickSwitch,random,1400,200,645.9,7455
RadixSortWithQuickSwitch,reversed,1400,200,1171.8,22023
RadixSortWithQuickSwitch,almost_sorted,1400,200,728.2,14549
StandardMergeSort,random,1500,200,2379.1,19097
StandardMergeSort,reversed,1500,200,1904.4,13320
StandardMergeSort,almost_sorted,1500,200,2094.9,17801
StandardQuickSort,random,1500,200,11666,256350
StandardQuickSort,reversed,1500,200,62561.5,1469627
StandardQuickSort,almost_sorted,1500,200,12064.1,266580
StringMergeSort,random,1500,200,6113.5,12610
StringMergeSort,reversed,1500,200,5362.6,5925
StringMergeSort,almost_sorted,1500,200,5522.1,6793
StringQuickSort,random,1500,200,892.5,23469
StringQuickSort,reversed,1500,200,1826.9,46117
StringQuickSort,almost_sorted,1500,200,1254.7,47233
RadixSort,random,1500,200,2576.7,0
RadixSort,reversed,1500,200,3202,0
RadixSort,almost_sorted,1500,200,3134.2,0
RadixSortWithQuickSwitch,random,1500,200,683.4,8276
RadixSortWithQuickSwitch,reversed,1500,200,1276.6,23415
RadixSortWithQuickSwitch,almost_sorted,1500,200,790.4,15356
StandardMergeSort,random,1600,200,2590,20697
StandardMergeSort,reversed,1600,200,2045.4,14275
StandardMergeSort,almost_sorted,1600,200,2290.6,19140
StandardQuickSort,random,1600,200,12799,276998
StandardQuickSort,reversed,1600,200,69967.9,1646141
StandardQuickSort,almost_sorted,1600,200,13546.9,301889
StringMergeSort,random,1600,200,6437.1,13571
